ОТЧЁТ О РЕДАКТУРЕ ТУРИСТИЧЕСКИХ ОПИСАНИЙ
Рабочая папка: C:\Work\khakaton_2026_dataset
Дата: 11.09.2026

1. Обработанные файлы

- 02_place_descriptions\museum_descriptions.md — проверено 54, исправлено 14, без изменений 40.
- 02_place_descriptions\history_descriptions.md — проверено 596, исправлено 596, без изменений 0.
- 02_place_descriptions\religion_architecture_descriptions.md — проверено 157, исправлено 157, без изменений 0.
- 02_place_descriptions\theatre_descriptions.md — проверено 24, исправлено 14, без изменений 10.
- 02_place_descriptions\art_descriptions.md — проверено 339, исправлено 339, без изменений 0.
- 02_place_descriptions\literature_descriptions.md — проверено 70, исправлено 52, без изменений 18.
- 02_place_descriptions\walks_parks_descriptions.md — проверено 167, исправлено 167, без изменений 0.
- 02_place_descriptions\viewpoint_descriptions.md — проверено 33, исправлено 32, без изменений 1.
- 02_place_descriptions\tatar_food_descriptions.md — проверено 14, исправлено 13, без изменений 1.

Всего проверено: 1454 описания.
Исправлено: 1384.
Оставлено без изменений: 70.

2. Выполненная редактура

- Удалены служебные упоминания OSM, исходных записей, тегов, датасетов и процесса подготовки.
- Описания переписаны простым туристическим языком с сохранением подтверждённых фактов.
- Устранены повторы, канцелярские обороты, рекламные преувеличения и ошибки согласования.
- Даты вида YYYY-MM-DD преобразованы в естественную русскую запись.
- Названия, адреса, координаты, OSM id и строки источников сохранены.

3. Проверка структуры

- Все 9 JSON-файлов успешно разобраны; синтаксических ошибок не обнаружено.
- До и после редактуры сохранены 1454 точки и 1454 непустых описания.
- Порядок и состав OSM id совпадают с исходными JSON.
- В каждой карточке сохранены заголовок, id, адрес или координаты, описание и источники.
- Все 1454 строки источников содержат сайты.
- Остальные структурированные поля markdown-файлов совпадают с резервными копиями.
- HTML-теги, пустые описания и повреждение текста не обнаружены.

4. Отсутствующие и некорректные описания

Места без описания: не обнаружены.
Пустые описания: не обнаружены.
Повреждённые описания: не обнаружены.

5. Записи для ручной проверки

Всего: 426. Для них сохранено краткое фактическое описание, но данных недостаточно для полной идентификации. В перечень также включён проект музея в самолёте Ту-144, для которого необходимо проверить актуальную доступность посещения.

museum — 10:
- node/12995828501 | Музей масштабных автомобилей
- node/12395975466 | Без названия — мемориальная доска (55.7979878, 49.1377328)
- node/12395975467 | Без названия — мемориальная доска (55.7979968, 49.1376291)
- node/12395975468 | Без названия — мемориальная доска (55.7977037, 49.1383693)
- node/12395975469 | Без названия — мемориальная доска (55.7976985, 49.1384603)
- node/12395975470 | Без названия — мемориальная доска (55.7976934, 49.1385475)
- node/12695216416 | Без названия — мемориальная доска (55.8558014, 49.0985797)
- node/12952500475 | Без названия — мемориальная доска (55.7810965, 49.1335184)
- node/12952500477 | Без названия — памятный камень (55.7829509, 49.131085)
- node/12983551910 | Без названия — мемориальная доска (55.7955233, 49.117903)
- node/12984949037 | Без названия — мемориальная доска (55.7907385, 49.1106601)
- node/12986507183 | Без названия — мемориальная доска (55.7874482, 49.1348872)
- node/12996328005 | Без названия — мемориальная доска (55.7964535, 49.1339964)
- node/13072265014 | Без названия — мемориальная доска (55.7919611, 49.1573819)
- node/1312957940 | Без названия — мемориальный объект (55.8556248, 49.1005691)
- node/13343165288 | Без названия — военный мемориал (55.7722664, 49.1463937)
- node/13911345566 | Без названия — памятный камень (55.8306948, 49.1073932)
- node/13954372295 | Без названия — мемориальный бюст (55.7288273, 49.1798869)
- node/13954377401 | Без названия — мемориальный бюст (55.7288148, 49.1799187)
- node/13954377402 | Без названия — мемориальный бюст (55.7288036, 49.1799473)
- node/13954377403 | Без названия — мемориальный бюст (55.7288539, 49.1798192)
- node/13954377404 | Без названия — мемориальный бюст (55.7288637, 49.1797941)
- node/13954377405 | Без названия — мемориальный бюст (55.7288756, 49.179764)
- node/1469171278 | Без названия — мемориальный объект (55.7502973, 49.2068923)
- node/2788472653 | Без названия — мемориальный объект (55.8224625, 49.0883054)
- node/3024134482 | Без названия — исторический объект (55.7781946, 49.1196712)
- node/3024134483 | Без названия — исторический объект (55.7777975, 49.1191715)
- node/3718315028 | Без названия — мемориальный объект (55.7230956, 49.2046508)
- node/4225629271 | Без названия — мемориальный объект (55.7859783, 49.1314269)
- node/4235766115 | Без названия — памятный камень (55.7989674, 49.1046145)
- node/4884044406 | Без названия — памятный камень (55.8276424, 49.1074263)
- node/5344731605 | Без названия — мемориальный бюст (55.8044033, 49.1769778)
- node/6048957922 | Без названия — мемориальный объект (55.817528, 48.8994415)
- node/6601434400 | Без названия — мемориальный объект (55.8006662, 49.1051776)
- node/6601532956 | Без названия — мемориальная доска (55.7987722, 49.1026213)
- node/7930680211 | Без названия — мемориальный объект (55.8026813, 49.1855495)
- node/9066673793 | Без названия — памятный камень (55.7592301, 49.1737828)
- node/9101609955 | Без названия — мемориальный объект (55.8401442, 48.9694921)
- node/9166900017 | Без названия — мемориальный объект (55.7015, 49.0752777)
- node/9667796542 | Без названия — военный мемориал (55.7654332, 49.2567006)
- node/9743027869 | Без названия — мемориальная доска (55.8380211, 49.1090586)
- node/9775123426 | Без названия — памятный камень (55.7875665, 49.1259857)
- node/9867793479 | Без названия — мемориальный объект (55.7851737, 49.1257626)
- node/9867793482 | Без названия — мемориальная доска (55.7891632, 49.1184029)
- node/9871773745 | Без названия — мемориальная доска (55.7909656, 49.1142735)
- node/9923021157 | Без названия — мемориальный объект (55.8142656, 49.0939545)
- node/9932661171 | Без названия — памятный камень (55.78398, 49.1280075)
- node/9942640684 | Без названия — мемориальная доска (55.8059282, 49.1836413)
- node/9948897708 | Без названия — мемориальная доска (55.8047712, 49.1777472)
- node/9978776577 | Без названия — мемориальный бюст (55.7936575, 49.1294091)
- way/104112500 | Без названия — исторический объект (55.7891038, 49.1438833)
- way/104414276 | Без названия — исторический объект (55.7873502, 49.1376794)
- way/104414297 | Без названия — исторический объект (55.7873732, 49.1347466)
- way/104655234 | Без названия — исторический объект (55.7851326, 49.1345236)
- way/105151243 | Без названия — историческое здание (55.7929281, 49.114689)
- way/105155491 | Без названия — объект культурного наследия (55.7943228, 49.1146221)
- way/105301875 | Без названия — объект культурного наследия (55.7834997, 49.115025)
- way/1061541145 | Без названия — исторический объект (55.8378457, 49.3386032)
- way/1096211335 | Без названия — исторические руины (55.8001203, 49.1132574)
- way/1180245846 | Без названия — участок исторических укреплений (55.7966914, 49.108698)
- way/1180245848 | Без названия — участок исторических укреплений (55.796389, 49.1071975)
- way/1180245851 | Без названия — участок исторических укреплений (55.7967579, 49.1060079)
- way/1180245853 | Без названия — участок исторических укреплений (55.7977514, 49.1049425)
- way/1180245855 | Без названия — участок исторических укреплений (55.8006302, 49.1036413)
- way/1180292850 | Без названия — участок исторических укреплений (55.7996894, 49.1080677)
- way/1180292851 | Без названия — участок исторических укреплений (55.7977361, 49.1083551)
- way/1180292853 | Без названия — участок исторических укреплений (55.8009407, 49.1075592)
- way/1180292856 | Без названия — участок исторических укреплений (55.8015654, 49.104962)
- way/1319870846 | Без названия — участок исторических укреплений (55.7989324, 49.1079122)
- way/1319870853 | Без названия — участок исторических укреплений (55.8017936, 49.1064504)
- way/1319870854 | Без названия — участок исторических укреплений (55.8018298, 49.1059134)
- way/1319876499 | Без названия — участок исторических укреплений (55.7987102, 49.104119)
- way/1319876500 | Без названия — участок исторических укреплений (55.7982512, 49.1043878)
- way/1337677860 | Без названия — историческое здание (55.8533183, 49.0822646)
- way/1526315816 | Без названия — военный мемориал (55.7935611, 49.1529862)
- way/157683896 | Без названия — объект культурного наследия (55.7823928, 49.1115705)
- way/158241685 | Без названия — исторический объект (55.7859531, 49.1432176)
- way/191859809 | Без названия — исторический объект (55.7840168, 49.1333081)
- way/191859810 | Без названия — исторический объект (55.7842666, 49.1335367)
- way/198000443 | Без названия — объект культурного наследия (55.7775913, 49.1123688)
- way/240476464 | Без названия — объект культурного наследия (55.7809532, 49.1083907)
- way/241601225 | Без названия — объект культурного наследия (55.7885897, 49.1088265)
- way/430291424 | Без названия — мемориальный объект (55.7392617, 49.1014111)
- way/561437758 | Без названия — мемориальный объект (55.7503079, 49.2067699)
- way/654379335 | Без названия — участок исторических укреплений (55.7996686, 49.1035514)
- way/702946061 | Без названия — исторические руины (55.7993467, 49.1046261)
- way/740794836 | Без названия — объект культурного наследия (55.7840404, 49.1134469)
- way/889405857 | Без названия — исторические руины (55.7995693, 49.1110513)
- way/90155390 | Без названия — объект культурного наследия (55.7922079, 49.1110751)
- way/90178092 | Без названия — историческое здание (55.792057, 49.1156328)
- way/91856490 | Без названия — объект культурного наследия (55.7972013, 49.1166927)
- way/94522934 | Без названия — объект культурного наследия (55.7790855, 49.1190998)
- way/95045805 | Без названия — историческое здание (55.7919057, 49.1505753)
- way/95482348 | Без названия — исторический объект (55.7880446, 49.1419927)

religion_architecture — 27:
- node/11269408476 | Без названия — суннитский мусульманский храм (55.7743734, 49.2014505)
- node/11926870506 | Без названия — мусульманский храм (55.8210868, 49.1186881)
- node/14158401543 | Без названия — христианский храм (55.7654181, 49.1155091)
- node/5578376876 | Без названия — мусульманский храм (55.7497171, 49.2880009)
- node/8383802082 | Без названия — православный храм (55.7930666, 49.2405115)
- way/1065450806 | Без названия — мусульманский храм (55.8762158, 49.2509113)
- way/1115140904 | Без названия — христианский храм (55.7928534, 49.1562275)
- way/1457108729 | Без названия — культовое сооружение (55.7272824, 49.1842582)
- way/1457108730 | Без названия — культовое сооружение (55.727104, 49.1845879)
- way/184048074 | Без названия — православный храм (55.8795571, 49.1482178)
- way/200354770 | Без названия — православный храм (55.8153414, 49.0667706)
- way/200355642 | Без названия — православный храм (55.7820645, 49.2285346)
- way/270770627 | Без названия — православный храм (55.878279, 49.0933821)
- way/272561161 | Без названия — православный храм (55.6983379, 49.1544253)
- way/378326105 | Без названия — суннитский мусульманский храм (55.79541, 49.1210902)
- way/378326106 | Без названия — православный храм (55.7955354, 49.1211245)
- way/390073197 | Без названия — суннитский мусульманский храм (55.7139734, 49.1007587)
- way/412757120 | Без названия — суннитский мусульманский храм (55.9135831, 49.153644)
- way/432054860 | Без названия — суннитский мусульманский храм (55.7689656, 49.1676132)
- way/485384019 | Без названия — суннитский мусульманский храм (55.8216604, 49.2340107)
- way/528168047 | Без названия — христианский храм (55.7152513, 49.1011649)
- way/543747239 | Без названия — суннитский мусульманский храм (55.7411716, 49.2732824)
- way/675367604 | Без названия — суннитский мусульманский храм (55.8262607, 49.2299334)
- way/675367605 | Без названия — суннитский мусульманский храм (55.6783443, 49.1221693)
- way/675367606 | Без названия — суннитский мусульманский храм (55.6765794, 49.1304591)
- way/893741164 | Без названия — суннитский мусульманский храм (55.863489, 49.0981692)
- way/959794248 | Без названия — суннитский мусульманский храм (55.7826245, 49.1598016)

theatre — 4:
- node/7112753924 | Молодежный экспериментальный театр центра искусств «ЭОС»
- node/9690114394 | Театр-музей «В сказке»
- way/104281618 | Акт
- way/789255105 | Без названия — амфитеатр (55.8369364, 49.1574292)

art — 152:
- node/10011630606 | Без названия — произведение публичного искусства (55.7904296, 49.1184912)
- node/10033242761 | Без названия — произведение публичного искусства (55.8350846, 49.078562)
- node/10038829015 | Без названия — художественная инсталляция (55.8575675, 49.0786526)
- node/10047779562 | Без названия — скульптура (55.7999462, 49.1274145)
- node/10047779583 | Без названия — скульптура (55.8024723, 49.1081736)
- node/10186610135 | Без названия — статуя (55.8526947, 49.0850917)
- node/10186610136 | Без названия — статуя (55.8526523, 49.0850854)
- node/10186610137 | Без названия — статуя (55.8525785, 49.085072)
- node/10186610138 | Без названия — статуя (55.8525204, 49.0850693)
- node/10250911691 | Без названия — граффити (55.7818171, 49.1302169)
- node/10758758418 | Без названия — мозаика (55.8139654, 49.1864622)
- node/10804852130 | Без названия — граффити (55.7755807, 49.1370153)
- node/10822648414 | Без названия — граффити (55.798698, 49.0606336)
- node/10827513011 | Без названия — произведение публичного искусства (55.8012457, 48.9744527)
- node/10836656756 | Без названия — мурал (55.7918318, 49.1529811)
- node/10886030896 | Без названия — граффити (55.7826641, 49.1341662)
- node/10946063323 | Без названия — скульптура (55.7752508, 49.1478354)
- node/10960406328 | Без названия — мурал (55.830162, 49.0822538)
- node/10960406329 | Без названия — мурал (55.8303971, 49.0820025)
- node/11038616834 | Без названия — произведение публичного искусства (55.7962281, 49.1426155)
- node/11049264570 | Без названия — граффити (55.7990808, 49.1523763)
- node/11062159583 | Без названия — граффити (55.7884171, 49.1050791)
- node/11062159585 | Без названия — скульптура (55.7883135, 49.1003277)
- node/11062160017 | Без названия — скульптура (55.7882533, 49.1003637)
- node/11064007516 | Без названия — граффити (55.7832767, 49.1332445)
- node/11070932931 | Без названия — скульптура (55.8277502, 49.1109345)
- node/11086745349 | Без названия — художественная инсталляция (55.779823, 49.1129925)
- node/11150214865 | Без названия — граффити (55.7536997, 49.2422275)
- node/11166802488 | Без названия — граффити (55.8019427, 49.0569843)
- node/11170114007 | Без названия — художественная инсталляция (55.7802408, 49.1119949)
- node/11170114017 | Без названия — скульптура (55.7738018, 49.1013103)
- node/11187518969 | Без названия — художественная инсталляция (55.7109417, 49.2134755)
- node/11228417611 | Без названия — мурал (55.8306222, 49.0693857)
- node/11228417612 | Без названия — мурал (55.838815, 49.066493)
- node/11237768507 | Без названия — мурал (55.8016264, 49.1864178)
- node/11266057329 | Без названия — граффити (55.8349819, 49.108596)
- node/11353577769 | Без названия — произведение публичного искусства (55.8710069, 49.2249372)
- node/11375191549 | Без названия — скульптура (55.7850765, 49.125946)
- node/11375191555 | Без названия — скульптура (55.7852672, 49.1255737)
- node/11576116212 | Без названия — произведение публичного искусства (55.8153594, 49.0793977)
- node/11601575638 | Без названия — произведение публичного искусства (55.7951984, 49.171515)
- node/11618545129 | Без названия — мурал (55.7972234, 49.1104055)
- node/11733510918 | Без названия — мурал (55.8279345, 49.1458191)
- node/11742165381 | Без названия — мурал (55.8268445, 49.0858304)
- node/11778218876 | Без названия — статуя (55.9267928, 49.2089086)
- node/11778218877 | Без названия — рельеф (55.9267782, 49.2089599)
- node/11840784988 | Без названия — граффити (55.7693112, 49.1778659)
- node/11849708985 | Без названия — художественная инсталляция (55.7515083, 49.1957887)
- node/11869510774 | Без названия — граффити (55.832376, 49.0762927)
- node/11877335712 | Без названия — граффити (55.798318, 49.1095191)
- node/11972546393 | Без названия — мурал (55.7997593, 49.1006263)
- node/11973859917 | Без названия — граффити (55.8285555, 49.0576381)
- node/11979229759 | Без названия — рельеф (55.8274863, 49.1059823)
- node/11981224690 | Без названия — скульптура (55.7928308, 49.1338358)
- node/1203529335 | Без названия — произведение публичного искусства (55.7951417, 49.1351957)
- node/12040500825 | Без названия — граффити (55.8288186, 49.0614244)
- node/12068774911 | Без названия — граффити (55.8182927, 49.0620302)
- node/12068774940 | Без названия — граффити (55.8202696, 49.0552398)
- node/12084539363 | Без названия — мозаика (55.8035922, 49.068601)
- node/12084582204 | Без названия — граффити (55.8219538, 49.0522791)
- node/12084582205 | Без названия — граффити (55.8209422, 49.0545193)
- node/12109793489 | Без названия — мурал (55.8159726, 49.1045661)
- node/12128335503 | Без названия — граффити (55.8308974, 49.0595326)
- node/12143539776 | Без названия — рельеф (55.796525, 49.1250337)
- node/12150261075 | Без названия — скульптура (55.8304605, 49.262917)
- node/12152154905 | Без названия — мурал (55.7832596, 49.2239243)
- node/12159356368 | Без названия — художественная инсталляция (55.811869, 49.1806411)
- node/12165955695 | Без названия — скульптура (55.7808178, 49.1164137)
- node/12165955823 | Без названия — граффити (55.7806399, 49.1155385)
- node/12209493128 | Без названия — граффити (55.7907071, 49.2234254)
- node/12248833633 | Без названия — граффити (55.8026584, 49.1016306)
- node/12638770965 | Без названия — мурал (55.7972914, 49.0485051)
- node/12754681001 | Без названия — мурал (55.7460957, 49.2177274)
- node/12755532677 | Без названия — мозаика (55.8341641, 49.0985353)
- node/12755532678 | Без названия — мурал (55.8341344, 49.0992459)
- node/12755532679 | Без названия — мурал (55.8341439, 49.0999064)
- node/12755532680 | Без названия — мурал (55.8334664, 49.0998644)
- node/12755532681 | Без названия — мурал (55.8321819, 49.0983778)
- node/12755532682 | Без названия — мурал (55.8321181, 49.0998272)
- node/12816279601 | Без названия — произведение публичного искусства (55.7700595, 49.2362171)
- node/12863010226 | Без названия — граффити (55.8170355, 49.1028114)
- node/12863028609 | Без названия — граффити (55.747839, 49.220259)
- node/12950348705 | Без названия — мурал (55.8208613, 49.1067709)
- node/12950348706 | Без названия — мурал (55.8208597, 49.1083592)
- node/12952500478 | Без названия — художественная инсталляция (55.7830425, 49.1309269)
- node/12974213222 | Без названия — мурал (55.8350826, 49.0486692)
- node/12983549392 | Без названия — рельеф (55.7916297, 49.118756)
- node/13002498710 | Без названия — скульптура (55.7936274, 49.1216137)
- node/13002498738 | Без названия — скульптура (55.7936956, 49.1216525)
- node/13019791406 | Без названия — мурал (55.8208618, 49.1096247)
- node/13076481101 | Без названия — произведение публичного искусства (55.8644234, 49.2221367)
- node/13100947952 | Без названия — граффити (55.8282065, 49.0808828)
- node/13112863678 | Без названия — граффити (55.782, 49.1381192)
- node/13142525360 | Без названия — граффити (55.7811955, 49.11269)
- node/13177199873 | Без названия — граффити (55.8306412, 49.1459668)
- node/13177199874 | Без названия — граффити (55.8305298, 49.145959)
- node/13181088440 | Без названия — граффити (55.8195323, 49.0842071)
- node/13324766711 | Без названия — мозаика (55.786325, 49.1227352)
- node/13324766712 | Без названия — мозаика (55.7863259, 49.1221947)
- node/13337683901 | Без названия — мурал (55.7799379, 49.1140641)
- node/13413454497 | Без названия — декоративное панно (55.8264621, 49.0925213)
- node/13418396290 | Без названия — мурал (55.8363531, 49.1468226)
- node/13758160017 | Без названия — мурал (55.820181, 49.1271072)
- node/13758172713 | Без названия — граффити (55.7937394, 49.1043478)
- node/13960454487 | Без названия — мурал (55.8131939, 49.0614768)
- node/14016853469 | Без названия — произведение публичного искусства (55.7738573, 49.1006186)
- node/1818815662 | Без названия — произведение публичного искусства (55.7441498, 49.1897377)
- node/2794349710 | Без названия — произведение публичного искусства (55.8191157, 49.0965967)
- node/3457649519 | Без названия — произведение публичного искусства (55.7678382, 49.1461026)
- node/4932698081 | Без названия — граффити (55.8058306, 49.1463438)
- node/5037354397 | Без названия — граффити (55.871296, 49.2268353)
- node/5037354403 | Без названия — статуя (55.8704683, 49.2266958)
- node/5037354404 | Без названия — статуя (55.8707806, 49.2270915)
- node/5950835094 | Без названия — скульптура (55.7951567, 49.1720165)
- node/6571712966 | Без названия — скульптура (55.8361011, 48.9614047)
- node/6609791159 | Без названия — граффити (55.7871611, 49.1128422)
- node/6609806451 | Без названия — граффити (55.7734977, 49.1177823)
- node/6609845612 | Без названия — граффити (55.7809155, 49.1165658)
- node/7920728440 | Без названия — произведение публичного искусства (55.7938229, 49.1482486)
- node/8536011117 | Без названия — граффити (55.8305364, 49.0464228)
- node/8697511517 | Без названия — мурал (55.8057839, 49.0745106)
- node/8968458717 | Без названия — граффити (55.7909471, 49.1006029)
- node/9210114302 | Без названия — статуя (55.7593774, 49.1145252)
- node/9308038717 | Без названия — мурал (55.8249923, 49.1111606)
- node/9599384976 | Без названия — мурал (55.8222661, 49.1113937)
- node/9602979450 | Без названия — художественная инсталляция (55.7619495, 49.2069738)
- node/9602989248 | Без названия — художественная инсталляция (55.7604667, 49.2118722)
- node/9631265017 | Без названия — произведение публичного искусства (55.8213213, 49.1095188)
- node/9631265217 | Без названия — мурал (55.8225848, 49.1113357)
- node/9676775711 | Без названия — скульптура (55.7407078, 49.1327396)
- node/9702311267 | Без названия — статуя (55.8130856, 49.1086296)
- node/9702311268 | Без названия — статуя (55.813086, 49.1078544)
- node/9702311269 | Без названия — статуя (55.8125441, 49.1078537)
- node/9702311270 | Без названия — статуя (55.8125438, 49.1086288)
- node/9702572283 | Без названия — произведение публичного искусства (55.7981973, 49.1163354)
- node/9760243359 | Без названия — граффити (55.7780487, 49.1331866)
- node/9776584454 | Без названия — художественная инсталляция (55.8028446, 49.112748)
- node/9781135190 | Без названия — художественная инсталляция (55.7987236, 49.1841763)
- node/9781217073 | Без названия — скульптура (55.7827997, 49.1978543)
- node/9781589031 | Без названия — граффити (55.8385297, 49.1018913)
- node/9781757228 | Без названия — граффити (55.8270377, 49.1000851)
- node/9785703056 | Без названия — скульптура (55.7935388, 49.1712615)
- node/9789086938 | Без названия — художественная инсталляция (55.8181098, 49.0970298)
- node/9838871590 | Без названия — статуя (55.7954014, 49.1357497)
- node/9846873514 | Без названия — скульптура (55.8300842, 49.0792571)
- node/9855122072 | Без названия — мурал (55.7782351, 49.1090759)
- node/9881506519 | Без названия — произведение публичного искусства (55.7874871, 49.1040067)
- node/9882757241 | Без названия — произведение публичного искусства (55.7797897, 49.1127033)
- node/9911705683 | Без названия — скульптура (55.7782449, 49.1415497)
- node/9953531800 | Без названия — произведение публичного искусства (55.7752051, 49.1435826)
- node/9978776581 | Без названия — мурал (55.7929676, 49.1269087)
- way/593615204 | Без названия — художественная инсталляция (55.7628742, 49.2128097)

literature — 12:
- node/10809139306 | Державину Г. Р.
- node/11053541333 | Православная библиотека
- node/12101234041 | Без названия — библиотека (55.8269276, 49.049736)
- node/12404325402 | Г. Тукай
- node/12983549382 | Дом, в котором выступал В. В. Маяковский
- node/13324766715 | М. Джалилю
- node/13324766716 | М. Джалилю
- node/13324766729 | С.Т. Аксакову
- node/3413153869 | Музей Л. Н. Толстого
- node/3817842539 | Национальная библиотека РТ
- node/3956551447 | Национальная библиотека Республики Татарстан
- node/7603682388 | Пушкин

walks_parks — 71:
- relation/13209298 | Без названия — парк или озеленённая прогулочная территория (55.7872625, 49.1043835)
- relation/14734278 | Без названия — парк или озеленённая прогулочная территория (55.8477797, 48.905755)
- relation/16110126 | Без названия — парк или озеленённая прогулочная территория (55.7977547, 49.1828117)
- relation/6302962 | Без названия — парк или озеленённая прогулочная территория (55.7993289, 49.1061682)
- relation/6302963 | Без названия — парк или озеленённая прогулочная территория (55.7999645, 49.1068836)
- relation/8420785 | Без названия — парк или озеленённая прогулочная территория (55.7809752, 49.123989)
- way/1002962535 | Без названия — парк или озеленённая прогулочная территория (55.8076499, 49.1886368)
- way/1067176107 | Без названия — сад (55.7613437, 49.2113903)
- way/108466454 | Без названия — парк или озеленённая прогулочная территория (55.7870622, 49.2251907)
- way/1171098231 | Без названия — парк или озеленённая прогулочная территория (55.8223184, 49.1839794)
- way/1202082248 | Без названия — парк или озеленённая прогулочная территория (55.7725083, 49.1284292)
- way/1210345357 | Без названия — парк или озеленённая прогулочная территория (55.8368834, 49.2045799)
- way/1283206438 | Без названия — парк или озеленённая прогулочная территория (55.8390287, 49.0321491)
- way/1298041024 | Без названия — парк или озеленённая прогулочная территория (55.8561472, 49.0778785)
- way/1340284490 | Без названия — парк или озеленённая прогулочная территория (55.7805352, 49.1054722)
- way/1415074104 | Без названия — сад (55.7941302, 49.1227844)
- way/1434924271 | Без названия — парк или озеленённая прогулочная территория (55.8255905, 49.2271332)
- way/164038439 | Без названия — парк или озеленённая прогулочная территория (55.8376569, 49.0818246)
- way/164038440 | Без названия — парк или озеленённая прогулочная территория (55.838583, 49.0818238)
- way/164047525 | Без названия — парк или озеленённая прогулочная территория (55.8364203, 49.1217881)
- way/170077268 | Без названия — парк или озеленённая прогулочная территория (55.7990966, 49.0645727)
